FECHAHORA,DEM
2015-01-10T02UTC+01:00,2313.345
2015-01-10T03UTC+01:00,2294.359
2015-01-10T04UTC+01:00,2412.612
2015-01-10T05UTC+01:00,2573.467
2015-01-10T06UTC+01:00,2992.471
2015-01-10T07UTC+01:00,3657.255
2015-01-10T08UTC+01:00,3373.553
2015-01-10T09UTC+01:00,4140.276
2015-01-10T10UTC+01:00,4385.559
2015-01-10T11UTC+01:00,4360.483
2015-01-10T12UTC+01:00,4189.563
2015-01-10T13UTC+01:00,3436.026
2015-01-10T14UTC+01:00,2933.041
2015-01-10T15UTC+01:00,2722.47
2015-01-10T16UTC+01:00,2719.785
2015-01-10T17UTC+01:00,2840.094
2015-01-10T18UTC+01:00,3828.223
2015-01-10T19UTC+01:00,3883.08
2015-01-10T20UTC+01:00,3781.937
2015-01-10T21UTC+01:00,3506.897
2015-01-10T22UTC+01:00,2436.847
2015-01-10T23UTC+01:00,2187.664
2015-01-11T00UTC+01:00,2316.432
2015-01-11T01UTC+01:00,2210.159
2015-01-11T02UTC+01:00,2149.849
2015-01-11T03UTC+01:00,2142.448
2015-01-11T04UTC+01:00,2161.083
2015-01-11T05UTC+01:00,2282.194
2015-01-11T06UTC+01:00,2555.206
2015-01-11T07UTC+01:00,3092.621
2015-01-11T08UTC+01:00,2775.022
2015-01-11T09UTC+01:00,3387.177
2015-01-11T10UTC+01:00,3511.69
2015-01-11T11UTC+01:00,3458.616
2015-01-11T12UTC+01:00,3342.008
2015-01-11T13UTC+01:00,2714.893
2015-01-11T14UTC+01:00,2405.309
2015-01-11T15UTC+01:00,2322.276
2015-01-11T16UTC+01:00,2362.784
2015-01-11T17UTC+01:00,2452.087
2015-01-11T18UTC+01:00,3265.689
2015-01-11T19UTC+01:00,3339.367
2015-01-11T20UTC+01:00,3243.014
2015-01-11T21UTC+01:00,3042.257
2015-01-11T22UTC+01:00,2218.368
2015-01-11T23UTC+01:00,1989.123
2015-01-12T00UTC+01:00,2026.267
2015-01-12T01UTC+01:00,2019.58
2015-01-12T02UTC+01:00,2028.323
2015-01-12T03UTC+01:00,2137.497
2015-01-12T04UTC+01:00,2338.642
2015-01-12T05UTC+01:00,2625.95
2015-01-12T06UTC+01:00,3365.228
2015-01-12T07UTC+01:00,4360.817
2015-01-12T08UTC+01:00,5103.78
2015-01-12T09UTC+01:00,6885.299
2015-01-12T10UTC+01:00,7115.826
2015-01-12T11UTC+01:00,7015.966
2015-01-12T12UTC+01:00,6737.249
2015-01-12T13UTC+01:00,5401.384
2015-01-12T14UTC+01:00,4839.473
2015-01-12T15UTC+01:00,4663.128
2015-01-12T16UTC+01:00,4758.29
2015-01-12T17UTC+01:00,5005.036
2015-01-12T18UTC+01:00,5369.717
2015-01-12T19UTC+01:00,5257.655
2015-01-12T20UTC+01:00,4761.309
2015-01-12T21UTC+01:00,3850.015
2015-01-12T22UTC+01:00,3014.307
2015-01-12T23UTC+01:00,2554.373
2015-01-13T00UTC+01:00,2547.103
2015-01-13T01UTC+01:00,2477.317
2015-01-13T02UTC+01:00,2418.029
2015-01-13T03UTC+01:00,2371.111
2015-01-13T04UTC+01:00,2387.919
2015-01-13T05UTC+01:00,2587.895
2015-01-13T06UTC+01:00,3237.965
2015-01-13T07UTC+01:00,4152.448
2015-01-13T08UTC+01:00,4859.201
2015-01-13T09UTC+01:00,6591.245
2015-01-13T10UTC+01:00,6837.539
2015-01-13T11UTC+01:00,6765.76
2015-01-13T12UTC+01:00,6493.351
2015-01-13T13UTC+01:00,5219.092
2015-01-13T14UTC+01:00,4714.464
2015-01-13T15UTC+01:00,4536.885
2015-01-13T16UTC+01:00,4608.462
2015-01-13T17UTC+01:00,4827.544
2015-01-13T18UTC+01:00,5185.977
2015-01-13T19UTC+01:00,5114.331
2015-01-13T20UTC+01:00,4677.954
2015-01-13T21UTC+01:00,3809.248
2015-01-13T22UTC+01:00,2992.179
2015-01-13T23UTC+01:00,2548.142
2015-01-14T00UTC+01:00,2539.161
2015-01-14T01UTC+01:00,2469.651
2015-01-14T02UTC+01:00,2405.536
2015-01-14T03UTC+01:00,2356.844
2015-01-14T04UTC+01:00,2374.301
2015-01-14T05UTC+01:00,2573.562
2015-01-14T06UTC+01:00,3222.063
2015-01-14T07UTC+01:00,4120.725
2015-01-14T08UTC+01:00,4820.763
2015-01-14T09UTC+01:00,6518.958
2015-01-14T10UTC+01:00,6780.905
2015-01-14T11UTC+01:00,6705.314
2015-01-14T12UTC+01:00,6457.208
2015-01-14T13UTC+01:00,5213.194
2015-01-14T14UTC+01:00,4712.564
2015-01-14T15UTC+01:00,4539.484
2015-01-14T16UTC+01:00,4635.373
2015-01-14T17UTC+01:00,4857.106
2015-01-14T18UTC+01:00,5192.004
2015-01-14T19UTC+01:00,5107.466
2015-01-14T20UTC+01:00,4678.397
2015-01-14T21UTC+01:00,3805.655
2015-01-14T22UTC+01:00,3000.225
2015-01-14T23UTC+01:00,2552.359
2015-01-15T00UTC+01:00,2526.47
2015-01-15T01UTC+01:00,2456.601
2015-01-15T02UTC+01:00,2384.41
2015-01-15T03UTC+01:00,2354.829
2015-01-15T04UTC+01:00,2360.901
2015-01-15T05UTC+01:00,2567.964
2015-01-15T06UTC+01:00,3199.404
2015-01-15T07UTC+01:00,4087.536
2015-01-15T08UTC+01:00,4769.636
2015-01-15T09UTC+01:00,6470.833
2015-01-15T10UTC+01:00,6730.366
2015-01-15T11UTC+01:00,6682.688
2015-01-15T12UTC+01:00,6451.587
2015-01-15T13UTC+01:00,5205.331
2015-01-15T14UTC+01:00,4717.592
2015-01-15T15UTC+01:00,4560.383
2015-01-15T16UTC+01:00,4672.656
2015-01-15T17UTC+01:00,4898.284
2015-01-15T18UTC+01:00,5190.078
2015-01-15T19UTC+01:00,5080.858
2015-01-15T20UTC+01:00,4626.299
2015-01-15T21UTC+01:00,3753.878
2015-01-15T22UTC+01:00,2985.226
2015-01-15T23UTC+01:00,2555.788
2015-01-16T00UTC+01:00,2589.216
2015-01-16T01UTC+01:00,2519.169
