FECHAHORA,DEM
2007-01-12T03UTC+01:00,23455.1
2007-01-12T04UTC+01:00,22757.5
2007-01-12T05UTC+01:00,23157.8
2007-01-12T06UTC+01:00,25372
2007-01-12T07UTC+01:00,29392.8
2007-01-12T08UTC+01:00,33101.4
2007-01-12T09UTC+01:00,34023
2007-01-12T10UTC+01:00,34416.7
2007-01-12T11UTC+01:00,34878.8
2007-01-12T12UTC+01:00,34125.4
2007-01-12T13UTC+01:00,33124.5
2007-01-12T14UTC+01:00,31033.1
2007-01-12T15UTC+01:00,30833.1
2007-01-12T16UTC+01:00,30742.6
2007-01-12T17UTC+01:00,31307
2007-01-12T18UTC+01:00,33971.7
2007-01-12T19UTC+01:00,34919.5
2007-01-12T20UTC+01:00,33921.8
2007-01-12T21UTC+01:00,32742.8
2007-01-12T22UTC+01:00,31131
2007-01-12T23UTC+01:00,31309.1
2007-01-13T00UTC+01:00,29873.1
2007-01-13T01UTC+01:00,26953.3
2007-01-13T02UTC+01:00,24909.2
2007-01-13T03UTC+01:00,23372.1
2007-01-13T04UTC+01:00,22434.5
2007-01-13T05UTC+01:00,21650.4
2007-01-13T06UTC+01:00,21863.3
2007-01-13T07UTC+01:00,22656.6
2007-01-13T08UTC+01:00,24639.6
2007-01-13T09UTC+01:00,25992.8
2007-01-13T10UTC+01:00,28558.8
2007-01-13T11UTC+01:00,29820.6
2007-01-13T12UTC+01:00,29502.5
2007-01-13T13UTC+01:00,28723.5
2007-01-13T14UTC+01:00,27036.8
2007-01-13T15UTC+01:00,26324.2
2007-01-13T16UTC+01:00,26551.7
2007-01-13T17UTC+01:00,26455.7
2007-01-13T18UTC+01:00,30042.7
2007-01-13T19UTC+01:00,31186.4
2007-01-13T20UTC+01:00,31975.1
2007-01-13T21UTC+01:00,31860.1
2007-01-13T22UTC+01:00,30191.6
2007-01-13T23UTC+01:00,30837.8
2007-01-14T00UTC+01:00,28575.2
2007-01-14T01UTC+01:00,25707.8
2007-01-14T02UTC+01:00,23788
2007-01-14T03UTC+01:00,22351.3
2007-01-14T04UTC+01:00,21370.9
2007-01-14T05UTC+01:00,20633.8
2007-01-14T06UTC+01:00,20471.9
2007-01-14T07UTC+01:00,19963.6
2007-01-14T08UTC+01:00,20168.1
2007-01-14T09UTC+01:00,21404.6
2007-01-14T10UTC+01:00,24068.5
2007-01-14T11UTC+01:00,25556.9
2007-01-14T12UTC+01:00,25740.3
2007-01-14T13UTC+01:00,26395.6
2007-01-14T14UTC+01:00,26592.5
2007-01-14T15UTC+01:00,25642.6
2007-01-14T16UTC+01:00,25258.6
2007-01-14T17UTC+01:00,25494.2
2007-01-14T18UTC+01:00,29395.8
2007-01-14T19UTC+01:00,30769.1
2007-01-14T20UTC+01:00,31392.7
2007-01-14T21UTC+01:00,31811.9
2007-01-14T22UTC+01:00,30151.6
2007-01-14T23UTC+01:00,30240.8
2007-01-15T00UTC+01:00,27745.8
2007-01-15T01UTC+01:00,24734.3
2007-01-15T02UTC+01:00,22857.9
2007-01-15T03UTC+01:00,21867.1
2007-01-15T04UTC+01:00,21358.5
2007-01-15T05UTC+01:00,21846
2007-01-15T06UTC+01:00,24646.8
2007-01-15T07UTC+01:00,28422.1
2007-01-15T08UTC+01:00,33259.3
2007-01-15T09UTC+01:00,34309.4
2007-01-15T10UTC+01:00,35295.3
2007-01-15T11UTC+01:00,35934.7
2007-01-15T12UTC+01:00,35489.4
2007-01-15T13UTC+01:00,34813.5
2007-01-15T14UTC+01:00,33196.8
2007-01-15T15UTC+01:00,33100.6
2007-01-15T16UTC+01:00,33065.3
2007-01-15T17UTC+01:00,33803.1
2007-01-15T18UTC+01:00,35978.5
2007-01-15T19UTC+01:00,37015.8
2007-01-15T20UTC+01:00,36173.2
2007-01-15T21UTC+01:00,35186.1
2007-01-15T22UTC+01:00,32934.2
2007-01-15T23UTC+01:00,31973.4
2007-01-16T00UTC+01:00,29353.2
2007-01-16T01UTC+01:00,26710.9
2007-01-16T02UTC+01:00,24917.6
2007-01-16T03UTC+01:00,23857.2
2007-01-16T04UTC+01:00,23247.1
2007-01-16T05UTC+01:00,23407.4
2007-01-16T06UTC+01:00,25739.5
2007-01-16T07UTC+01:00,29171.3
2007-01-16T08UTC+01:00,33289.7
2007-01-16T09UTC+01:00,34194.6
2007-01-16T10UTC+01:00,35450.4
2007-01-16T11UTC+01:00,35892.2
2007-01-16T12UTC+01:00,35432.9
2007-01-16T13UTC+01:00,34785.8
2007-01-16T14UTC+01:00,33259.4
2007-01-16T15UTC+01:00,32890.4
2007-01-16T16UTC+01:00,32750
2007-01-16T17UTC+01:00,33124
2007-01-16T18UTC+01:00,35732.8
2007-01-16T19UTC+01:00,36933.7
2007-01-16T20UTC+01:00,35882.2
2007-01-16T21UTC+01:00,34934.3
2007-01-16T22UTC+01:00,32829.2
2007-01-16T23UTC+01:00,32574.7
2007-01-17T00UTC+01:00,29785.9
2007-01-17T01UTC+01:00,27017.3
2007-01-17T02UTC+01:00,25027.9
2007-01-17T03UTC+01:00,23854.9
2007-01-17T04UTC+01:00,23118.1
2007-01-17T05UTC+01:00,23165
2007-01-17T06UTC+01:00,25538.2
2007-01-17T07UTC+01:00,28744.5
2007-01-17T08UTC+01:00,33152.3
2007-01-17T09UTC+01:00,34303.3
2007-01-17T10UTC+01:00,35210.8
2007-01-17T11UTC+01:00,35458.1
2007-01-17T12UTC+01:00,34843.8
2007-01-17T13UTC+01:00,33901.9
2007-01-17T14UTC+01:00,32169.6
2007-01-17T15UTC+01:00,32098.8
2007-01-17T16UTC+01:00,31458.4
2007-01-17T17UTC+01:00,32077.3
2007-01-17T18UTC+01:00,34304.2
2007-01-17T19UTC+01:00,35413.6
2007-01-17T20UTC+01:00,34728.1
2007-01-17T21UTC+01:00,33787.5
2007-01-17T22UTC+01:00,32116.5
2007-01-17T23UTC+01:00,31415.4
2007-01-18T00UTC+01:00,29138.1
2007-01-18T01UTC+01:00,26638.9
2007-01-18T02UTC+01:00,24992.8
2007-01-18T03UTC+01:00,24168.9
2007-01-18T04UTC+01:00,23525.3
2007-01-18T05UTC+01:00,22988.7
2007-01-18T06UTC+01:00,24933.9
2007-01-18T07UTC+01:00,29224.1
2007-01-18T08UTC+01:00,32865.9
2007-01-18T09UTC+01:00,33678.3
2007-01-18T10UTC+01:00,34804.4
2007-01-18T11UTC+01:00,35302.2
2007-01-18T12UTC+01:00,34234.1
2007-01-18T13UTC+01:00,33037.2
2007-01-18T14UTC+01:00,30993.2
2007-01-18T15UTC+01:00,31070.7
2007-01-18T16UTC+01:00,31067.5
2007-01-18T17UTC+01:00,31521.7
2007-01-18T18UTC+01:00,33896.9
2007-01-18T19UTC+01:00,35378.8
2007-01-18T20UTC+01:00,34456.6
2007-01-18T21UTC+01:00,33424.7
