FECHAHORA,DEM
2015-01-13T03UTC+01:00,795.159
2015-01-13T04UTC+01:00,784.548
2015-01-13T05UTC+01:00,813.44
2015-01-13T06UTC+01:00,891.182
2015-01-13T07UTC+01:00,1063.176
2015-01-13T08UTC+01:00,1072.84
2015-01-13T09UTC+01:00,1082.411
2015-01-13T10UTC+01:00,1134.888
2015-01-13T11UTC+01:00,1106.084
2015-01-13T12UTC+01:00,1105.571
2015-01-13T13UTC+01:00,1115.274
2015-01-13T14UTC+01:00,1057.291
2015-01-13T15UTC+01:00,996.396
2015-01-13T16UTC+01:00,999.995
2015-01-13T17UTC+01:00,1075.791
2015-01-13T18UTC+01:00,1352.857
2015-01-13T19UTC+01:00,1540.013
2015-01-13T20UTC+01:00,1567.738
2015-01-13T21UTC+01:00,1539.534
2015-01-13T22UTC+01:00,1392.765
2015-01-13T23UTC+01:00,1244.435
2015-01-14T00UTC+01:00,1065.585
2015-01-14T01UTC+01:00,925.155
2015-01-14T02UTC+01:00,841.641
2015-01-14T03UTC+01:00,795.637
2015-01-14T04UTC+01:00,784.977
2015-01-14T05UTC+01:00,813.764
2015-01-14T06UTC+01:00,891.637
2015-01-14T07UTC+01:00,1062.53
2015-01-14T08UTC+01:00,1071.032
2015-01-14T09UTC+01:00,1079.637
2015-01-14T10UTC+01:00,1132.912
2015-01-14T11UTC+01:00,1103.277
2015-01-14T12UTC+01:00,1101.819
2015-01-14T13UTC+01:00,1112.567
2015-01-14T14UTC+01:00,1054.312
2015-01-14T15UTC+01:00,993.951
2015-01-14T16UTC+01:00,999.376
2015-01-14T17UTC+01:00,1074.921
2015-01-14T18UTC+01:00,1350.061
2015-01-14T19UTC+01:00,1534.472
2015-01-14T20UTC+01:00,1562.079
2015-01-14T21UTC+01:00,1533.731
2015-01-14T22UTC+01:00,1392.237
2015-01-14T23UTC+01:00,1243.709
2015-01-15T00UTC+01:00,1064.194
2015-01-15T01UTC+01:00,924.287
2015-01-15T02UTC+01:00,840.389
2015-01-15T03UTC+01:00,795.812
2015-01-15T04UTC+01:00,784.32
2015-01-15T05UTC+01:00,814.192
2015-01-15T06UTC+01:00,890.831
2015-01-15T07UTC+01:00,1061.002
2015-01-15T08UTC+01:00,1068.185
2015-01-15T09UTC+01:00,1077.919
2015-01-15T10UTC+01:00,1130.69
2015-01-15T11UTC+01:00,1102.147
2015-01-15T12UTC+01:00,1099.3
2015-01-15T13UTC+01:00,1110.17
2015-01-15T14UTC+01:00,1052.521
2015-01-15T15UTC+01:00,993.536
2015-01-15T16UTC+01:00,998.994
2015-01-15T17UTC+01:00,1075.034
2015-01-15T18UTC+01:00,1346.744
2015-01-15T19UTC+01:00,1528.986
2015-01-15T20UTC+01:00,1554.26
2015-01-15T21UTC+01:00,1524.131
2015-01-15T22UTC+01:00,1391.006
2015-01-15T23UTC+01:00,1244.18
2015-01-16T00UTC+01:00,1095.522
2015-01-16T01UTC+01:00,944.979
2015-01-16T02UTC+01:00,856.505
2015-01-16T03UTC+01:00,810.045
2015-01-16T04UTC+01:00,799.322
2015-01-16T05UTC+01:00,828.905
2015-01-16T06UTC+01:00,910.973
2015-01-16T07UTC+01:00,1085.954
2015-01-16T08UTC+01:00,1107.053
2015-01-16T09UTC+01:00,1124.796
2015-01-16T10UTC+01:00,1181.839
2015-01-16T11UTC+01:00,1146.979
2015-01-16T12UTC+01:00,1129.673
2015-01-16T13UTC+01:00,1136.983
2015-01-16T14UTC+01:00,1078.025
2015-01-16T15UTC+01:00,1025.685
2015-01-16T16UTC+01:00,1017.568
2015-01-16T17UTC+01:00,1076.163
2015-01-16T18UTC+01:00,1331.28
2015-01-16T19UTC+01:00,1503.786
2015-01-16T20UTC+01:00,1514.673
2015-01-16T21UTC+01:00,1495.866
2015-01-16T22UTC+01:00,1395.139
2015-01-16T23UTC+01:00,1285.667
2015-01-17T00UTC+01:00,1133.631
2015-01-17T01UTC+01:00,989.149
2015-01-17T02UTC+01:00,883.497
2015-01-17T03UTC+01:00,823.559
2015-01-17T04UTC+01:00,804.849
2015-01-17T05UTC+01:00,829.092
2015-01-17T06UTC+01:00,858.799
2015-01-17T07UTC+01:00,904.126
2015-01-17T08UTC+01:00,884.347
2015-01-17T09UTC+01:00,987.401
2015-01-17T10UTC+01:00,1116.187
2015-01-17T11UTC+01:00,1120.699
2015-01-17T12UTC+01:00,1118.503
2015-01-17T13UTC+01:00,1141.946
2015-01-17T14UTC+01:00,1107.96
2015-01-17T15UTC+01:00,1007.581
2015-01-17T16UTC+01:00,953.84
2015-01-17T17UTC+01:00,973.786
2015-01-17T18UTC+01:00,1231.779
2015-01-17T19UTC+01:00,1396.408
2015-01-17T20UTC+01:00,1429.867
